Name,Date Time,Open,High,Low,Last,Volume,Open Interest
@ES#,2/25/2011,1217.5,1217.75,1167.75,1194,11064786,11555074
@ES#,3/4/2011,1193.5,1211.75,1171.5,1195.5,12983655,14448055
@ES#,3/11/2011,1195.5,1202.5,1158.75,1181.5,11138496,10566723
@ES#,3/18/2011,1178.75,1181,1121.5,1154.5,16643100,11444958
@ES#,3/25/2011,1156.5,1194.75,1155,1190.25,8354774,12912178
@ES#,4/1/2011,1189.5,1214,1180.5,1208,7429233,13203608
@ES#,4/8/2011,1207.25,1216.75,1199,1204,8527817,13347116
@ES#,4/15/2011,1206,1210.5,1178.5,1199,9198056,13421453
@ES#,4/22/2011,1198.5,1218,1170.5,1211.25,6932378,10757127
@ES#,4/29/2011,1210.75,1244,1207.5,1240,6350907,13657665
@ES#,5/6/2011,1243.5,1253.75,1205.5,1214.75,11351849,13837050
@ES#,5/13/2011,1217.5,1238.5,1209,1214.25,9919060,13320030
@ES#,5/20/2011,1212.25,1225.75,1196.25,1208,10155096,13475801
@ES#,5/27/2011,1206.25,1214,1182.5,1210.25,9691501,13831278
@ES#,6/3/2011,1210,1228,1174.75,1176.5,9719985,11396647
@ES#,6/10/2011,1179,1179.25,1147.5,1149.5,10284698,10375292
@ES#,6/17/2011,1150.75,1172.75,1138,1151.75,14589859,11304303
@ES#,6/24/2011,1150.75,1179.5,1142,1149.75,11439323,12719641
@ES#,7/1/2011,1150.75,1222.25,1142.75,1220.5,10234073,12487276
@ES#,7/8/2011,1220.25,1240.25,1212.25,1227.5,7480953,9999751
@ES#,7/15/2011,1225,1225.25,1181,1200.75,12812220,12850558
@ES#,7/22/2011,1200.25,1233.5,1177,1226.75,9694621,12881032
@ES#,7/29/2011,1215.75,1226,1164.25,1174.25,11103523,13071401
@ES#,8/5/2011,1191.75,1195.5,1049,1083.5,21329534,14241064
@ES#,8/12/2011,1053,1074.75,962.75,1062.5,24586626,16783400
@ES#,8/19/2011,1065.5,1092.5,1003.25,1009.75,14064591,16495141
@ES#,8/26/2011,1007.75,1074.25,997,1061.75,14920922,17044670
@ES#,9/2/2011,1061.25,1115.5,1054.25,1055,12653033,17354745
@ES#,9/9/2011,1050.75,1089.5,1021.75,1043.75,10609258,9233853
@ES#,9/16/2011,1027.5,1106,1015,1103.25,16544066,12863662
@ES#,9/23/2011,1090.75,1106,993.5,1021.25,16423483,14900813
@ES#,9/30/2011,1013.5,1081.5,1006.5,1017.5,15107068,14975503
@ES#,10/7/2011,1014.5,1065.25,959.5,1046.5,16503796,15540811
@ES#,10/14/2011,1049.25,1113,1048,1110.75,10849727,14968894
@ES#,10/21/2011,1109.75,1127.25,1077,1126.75,12808078,14955052
@ES#,10/28/2011,1121.25,1180.75,1108,1172.5,12596550,14720025
@ES#,11/4/2011,1171.5,1172.25,1100,1142.5,13235642,14154264
@ES#,11/11/2011,1144.75,1166.75,1109.75,1153,11659934,14386043
@ES#,11/18/2011,1155.75,1162.25,1098,1105.5,12119944,14699962
@ES#,11/25/2011,1099.5,1100.5,1039,1045,8552774,11914886
@ES#,12/2/2011,1063.5,1154.25,1060.75,1135,12375428,14632605
@ES#,12/9/2011,1139.5,1163.25,1120,1150.25,10939013,10309776
@ES#,12/16/2011,1147.5,1151.75,1095.25,1108.25,13031356,11135602
@ES#,12/23/2011,1109.25,1158,1092.75,1157.5,7523616,12836343
@ES#,12/30/2011,1157.75,1161.75,1140.25,1149.75,3092901,10411383
@ES#,1/6/2012,1172,1179.5,1157,1171.5,6496220,10370020
@ES#,1/13/2012,1172,1194.75,1164.5,1186.25,8641209,12963294
@ES#,1/20/2012,1182.5,1209,1178.5,1208,7104182,10569314
@ES#,1/27/2012,1204.75,1227,1198.75,1209.75,8804410,13322800
@ES#,2/3/2012,1211.25,1239.25,1193.25,1236.25,8577829,13313675
@ES#,2/10/2012,1233.75,1250,1227.5,1237.75,7705797,13363035
@ES#,2/17/2012,1244.5,1258.5,1231.5,1257,8470272,13425370
@ES#,2/24/2012,1264,1266.75,1247.5,1260.5,5791535,10871604
@ES#,3/2/2012,1260.5,1274.5,1250.25,1266,8908763,13805336
@ES#,3/9/2012,1264.5,1271.75,1235.75,1269.75,8702240,10249269
@ES#,3/16/2012,1269.75,1303.5,1263.25,1301.5,10056505,12086771
@ES#,3/23/2012,1300.25,1311,1283.5,1297,7884324,13467871
@ES#,3/30/2012,1296.75,1322.75,1289.25,1306.25,7914288,13591119
@ES#,4/6/2012,1310.25,1320.75,1275,1293.25,6964356,13648712
@ES#,4/13/2012,1278,1291.5,1255.5,1268,9134746,13762127
@ES#,4/20/2012,1269,1293,1262.25,1278.25,10097011,13910471
@ES#,4/27/2012,1275.25,1306,1257,1301.5,8400187,14113600
@ES#,5/4/2012,1303.25,1314.75,1264.5,1265.5,8148063,14098326
@ES#,5/11/2012,1257,1273.25,1242.25,1253,10121492,14216831
@ES#,5/18/2012,1249,1254,1192.75,1193.75,12321160,14627010
@ES#,5/25/2012,1194.75,1232.75,1190.25,1218,10748338,14757389
@ES#,6/1/2012,1225,1237.25,1176.5,1177,10575154,11909191
@ES#,6/8/2012,1178,1232.5,1165,1231.5,10144021,10696944
@ES#,6/15/2012,1246.5,1251.5,1206.5,1247,13210402,11566743
@ES#,6/22/2012,1254.75,1266.5,1227,1236.25,10785118,13071174
@ES#,6/29/2012,1235,1269,1212,1266,10050391,13647609
@ES#,7/6/2012,1268.25,1284.5,1251.75,1261.25,6576126,10923816
@ES#,7/13/2012,1258.75,1266,1229.25,1261.25,9070369,13918463
@ES#,7/20/2012,1260.75,1285.5,1248.75,1267.75,8859002,13987053
@ES#,7/27/2012,1265,1294.5,1230.75,1292,10805340,14086923
@ES#,8/3/2012,1288.75,1300,1258.75,1298.5,9842596,13835609
@ES#,8/10/2012,1299.75,1313.25,1296.75,1312,6285815,14061614
@ES#,8/17/2012,1310,1326.25,1303.75,1324.75,6376298,14472365
@ES#,8/24/2012,1324.5,1334.25,1304.75,1319.25,7682019,14839581
@ES#,8/31/2012,1319.5,1325.5,1304.75,1314.5,6365863,15091731
@ES#,9/7/2012,1315.75,1348.25,1304,1347.75,6622255,12034928
@ES#,9/14/2012,1346.25,1384.5,1331,1375.5,8071883,11324883
@ES#,9/21/2012,1375.25,1378.75,1360,1368.5,8402765,12620552
@ES#,9/28/2012,1366.75,1373.5,1340.5,1350.75,8725020,14360394
@ES#,10/5/2012,1349.25,1382.5,1344.25,1372,8315693,14397327
@ES#,10/12/2012,1373.75,1373.75,1336.5,1338,7800288,14413809
@ES#,10/19/2012,1340,1376.25,1333,1340.5,8889025,14693318
@ES#,10/26/2012,1341,1349.75,1311,1324,9737027,14824595
@ES#,11/2/2012,1322.75,1348,1309.5,1322,5931414,14873343
@ES#,11/9/2012,1319.25,1348.25,1280,1292.25,11234453,15125254
@ES#,11/16/2012,1291.75,1302.75,1256.75,1276.25,10560185,15268745
@ES#,11/23/2012,1277.25,1324,1276.75,1321.75,5272122,12234284
@ES#,11/30/2012,1319.75,1336,1299.5,1331,8552848,15230063
@ES#,12/7/2012,1329.75,1340.5,1313.25,1332.5,8471333,15124133
@ES#,12/14/2012,1332.5,1355.25,1327.25,1332,7398675,11039360
@ES#,12/21/2012,1338,1368.75,1314,1348.75,10328948,12429244
@ES#,12/28/2012,1347,1348.25,1305,1306.75,3428461,11087848
@ES#,1/4/2013,1311,1385.75,1306.25,1380.5,6532987,11043641
@ES#,1/11/2013,1383,1394.25,1368.75,1390,6451640,13879115
@ES#,1/18/2013,1389.5,1403.75,1379.25,1401.75,6957578,14147793
@ES#,1/25/2013,1400.75,1422,1397.75,1418.5,6087268,11790108
@ES#,2/1/2013,1418.5,1433.25,1413.75,1429.5,7924199,14826119
@ES#,2/8/2013,1430.75,1437.75,1413,1435.25,8649964,14938492
@ES#,2/15/2013,1436.25,1444.75,1431.25,1439.75,6859849,15333860
@ES#,2/22/2013,1438.75,1452.75,1417.75,1437.25,7791781,12381817
@ES#,3/1/2013,1438.25,1447.25,1404.5,1439.25,13231108,15398986
@ES#,3/8/2013,1437.5,1475.25,1429.75,1472,9227957,11269302
@ES#,3/15/2013,1470.5,1486.25,1468,1481,8574075,13048142
@ES#,3/22/2013,1471.5,1483.25,1457,1479.5,10025378,14307788
@ES#,3/29/2013,1477.5,1492,1466.5,1490.25,7045105,8737502
@ES#,4/5/2013,1490.5,1495.5,1460.75,1473.5,9289102,14996502
@ES#,4/12/2013,1473,1520.5,1470.5,1509.5,8644185,15142707
@ES#,4/19/2013,1509.75,1510.5,1458.25,1475,12272081,14938401
@ES#,4/26/2013,1476,1515.75,1470.25,1504,8054895,15003435
@ES#,5/3/2013,1503.75,1541.75,1501.25,1536,7847361,15215866
@ES#,5/10/2013,1535.75,1559.75,1534.75,1557,7531783,15582616
@ES#,5/17/2013,1553,1593.25,1549,1590.5,9314912,15711928
@ES#,5/24/2013,1590,1613.25,1560.25,1578,11047486,15814853
@ES#,5/31/2013,1577.5,1600.25,1553.75,1556.5,8554207,12585897
@ES#,6/7/2013,1557,1573.25,1524,1566,12532315,15169782
@ES#,6/14/2013,1564,1576,1525.25,1552,9701275,11054336
@ES#,6/21/2013,1552.25,1582.5,1504,1517.5,12867200,12395683
@ES#,6/28/2013,1517.25,1548,1486.75,1532.75,10345353,13430089
@ES#,7/5/2013,1533.75,1564.25,1526.75,1560.75,5974992,10736061
