ID,Date,Time,zzPrice,zzChange,zzVolume,zzDelta,zzBars,zzAvgSz,zzTrades,zzSlope,zzWave,zzVolBar,zzVolPrice,zzRetrPer,zzDur
@NQ#_ZIG,12/7/2015,14:34:56,4682.75,18.5,0,0,3,0,0,84.5,1,0,0,0,-6004
@NQ#_ZIG,12/7/2015,14:39:56,4674.5,-8.25,2363,0,3,0,0,-77.8,2,977,0,44.59,300
@NQ#_ZIG,12/7/2015,14:52:56,4689.75,15.25,5967,0,10,0,0,68.7,3,1706,0,184.85,780
@NQ#_ZIG,12/7/2015,14:53:56,4685.5,-4.25,513,0,1,0,0,-82,4,513,0,27.87,60
@NQ#_ZIG,12/7/2015,14:55:56,4692.25,6.75,1159,0,3,0,0,75.2,5,652,0,158.82,120
@NQ#_ZIG,12/7/2015,15:00:56,4683.75,-8.5,5429,0,4,0,0,-74.4,a,4133,0,125.93,300
@NQ#_ZIG,12/7/2015,15:00:57,4692.5,8.75,0,0,4,0,0,74.8,1,0,0,102.94,1
@NQ#_ZIG,12/7/2015,15:00:58,4685.75,-6.75,0,0,3,0,0,-75.2,2,0,0,77.14,1
@NQ#_ZIG,12/7/2015,15:06:56,4695,9.25,3747,0,4,0,0,75.6,3,2345,0,137.04,358
@NQ#_ZIG,12/7/2015,15:14:56,4691,-4,2024,0,2,0,0,-73.5,4,2024,0,43.24,480
@NQ#_ZIG,12/7/2015,15:59:57,4699,8,1572,0,3,0,0,77.4,1,492,0,200,2701
@NQ#_ZIG,12/7/2015,17:22:55,4697.75,5.25,258,0,2,0,0,77.2,2,189,0,65.63,1079
@NQ#_ZIG,12/7/2015,19:58:56,4676,-21.75,3238,0,12,0,0,-71.9,1,805,0,414.29,9361
@NQ#_ZIG,12/7/2015,20:05:56,4681,5,187,0,1,0,0,83.2,a,187,0,22.99,420
@NQ#_ZIG,12/7/2015,20:09:56,4676.75,-4.25,57,0,1,0,0,-82,1,57,0,85,240
@NQ#_ZIG,12/7/2015,20:21:57,4684.25,7.5,708,0,3,0,0,76.6,2,610,0,176.47,721
@NQ#_ZIG,12/7/2015,20:39:56,4676.5,-7.75,361,0,3,0,0,-77,1,126,0,103.33,1079
@NQ#_ZIG,12/7/2015,20:42:56,4681.5,5,94,0,1,0,0,83.2,a,94,0,64.52,180
@NQ#_ZIG,12/7/2015,21:19:56,4667.75,-13.75,1056,0,9,0,0,-68.7,b,97,0,275,2220
@NQ#_ZIG,12/7/2015,21:52:56,4675.5,7.75,416,0,3,0,0,77,c,282,0,56.36,1980
@NQ#_ZIG,12/7/2015,22:10:55,4671.75,-3.75,222,0,2,0,0,-72.4,1,136,0,48.39,1079
@NQ#_ZIG,12/7/2015,22:46:56,4675.5,3.75,194,0,1,0,0,81,a,194,0,100,2161
