"BeginDate","EndDate","Open","Close","Low","OpenToLowPercent","High","OpenToHighPercent","RangePercent","VIX"
"1","2000-01-03","2000-02-01","1469.25","1455.22","1350.14","-8.1","1478","0.6","8.7","24.21"
"2","2000-01-04","2000-02-02","1455.22","1399.42","1350.14","-7.2","1473","1.2","8.4","27.01"
"3","2000-01-05","2000-02-03","1399.42","1402.11","1350.14","-3.5","1473","5.3","8.8","26.41"
"4","2000-01-06","2000-02-04","1402.11","1403.45","1350.14","-3.7","1473","5.1","8.8","25.73"
"5","2000-01-07","2000-02-07","1403.45","1441.47","1350.14","-3.8","1473","5","8.8","21.72"
"6","2000-01-10","2000-02-08","1441.47","1457.6","1350.14","-6.3","1473","2.2","8.5","21.71"
"7","2000-01-11","2000-02-09","1457.6","1438.56","1350.14","-7.4","1473","1.1","8.4","22.5"
"8","2000-01-12","2000-02-10","1438.56","1432.25","1350.14","-6.1","1473","2.4","8.5","22.84"
"9","2000-01-13","2000-02-11","1432.25","1449.68","1350.14","-5.7","1473","2.8","8.6","21.71"
"10","2000-01-14","2000-02-14","1449.68","1465.15","1350.14","-6.9","1473","1.6","8.5","19.66"
"11","2000-01-18","2000-02-15","1465.15","1455.14","1350.14","-7.8","1465.71","0","7.9","21.5"
"12","2000-01-19","2000-02-16","1455.14","1455.9","1350.14","-7.2","1465.71","0.7","7.9","21.72"
"13","2000-01-20","2000-02-17","1455.9","1445.57","1350.14","-7.3","1465.71","0.7","7.9","21.75"
"14","2000-01-21","2000-02-18","1445.57","1441.36","1345.32","-6.9","1454.09","0.6","7.5","20.82"
"15","2000-01-24","2000-02-22","1441.36","1401.53","1331.88","-7.6","1454.09","0.9","8.5","24.07"
"16","2000-01-25","2000-02-23","1401.53","1410.03","1331.88","-5","1444.55","3.1","8","23.02"
"17","2000-01-26","2000-02-24","1410.03","1404.09","1329.88","-5.7","1444.55","2.4","8.1","23.03"
"18","2000-01-27","2000-02-25","1404.09","1398.56","1329.15","-5.3","1444.55","2.9","8.2","23.54"
"19","2000-01-28","2000-02-28","1398.56","1360.16","1325.07","-5.3","1444.55","3.3","8.5","26.14"
"20","2000-01-31","2000-02-29","1360.16","1394.46","1325.07","-2.6","1444.55","6.2","8.8","24.95"
"21","2000-02-01","2000-03-01","1394.46","1409.28","1325.07","-5","1444.55","3.6","8.6","23.45"
"22","2000-02-02","2000-03-02","1409.28","1409.12","1325.07","-6","1444.55","2.5","8.5","23.12"
"23","2000-02-03","2000-03-03","1409.12","1424.97","1325.07","-6","1444.55","2.5","8.5","22.01"
"24","2000-02-04","2000-03-06","1424.97","1424.37","1325.07","-7","1444.55","1.4","8.4","21.54"
"25","2000-02-07","2000-03-07","1424.37","1424.24","1325.07","-7","1444.55","1.4","8.4","22.79"
"26","2000-02-08","2000-03-08","1424.24","1441.72","1325.07","-7","1444.55","1.4","8.4","21.25"
"27","2000-02-09","2000-03-09","1441.72","1411.71","1325.07","-8.1","1444.55","0.2","8.3","22.9"
"28","2000-02-10","2000-03-10","1411.7","1416.83","1325.07","-6.1","1422.1","0.7","6.9","23.07"
"29","2000-02-11","2000-03-13","1416.83","1387.12","1325.07","-6.5","1416.83","0","6.5","24.42"
"30","2000-02-14","2000-03-14","1387.12","1389.94","1325.07","-4.5","1413.46","1.9","6.4","24.38"
"31","2000-02-15","2000-03-15","1389.94","1402.05","1325.07","-4.7","1413.46","1.7","6.4","22.92"
"32","2000-02-16","2000-03-16","1402.05","1387.67","1325.07","-5.5","1458.47","4","9.5","23.51"
"33","2000-02-17","2000-03-17","1387.67","1388.26","1325.07","-4.5","1477.33","6.5","11","23.17"
"34","2000-02-18","2000-03-20","1388.26","1346.09","1325.07","-4.6","1477.33","6.4","11","26"
"35","2000-02-22","2000-03-21","1346.09","1352.17","1325.07","-1.6","1493.92","11","12.5","25.86"
"36","2000-02-23","2000-03-22","1352.17","1360.69","1325.07","-2","1505.08","11.3","13.3","23.89"
"37","2000-02-24","2000-03-23","1360.69","1353.43","1325.07","-2.6","1532.5","12.6","15.2","24.38"
"38","2000-02-25","2000-03-24","1353.43","1333.36","1325.07","-2.1","1552.87","14.7","16.8","25.2"
"39","2000-02-28","2000-03-27","1333.36","1348.05","1325.07","-0.6","1552.87","16.5","17.1","24.68"
"40","2000-02-29","2000-03-28","1348.05","1366.42","1346.62","-0.1","1552.87","15.2","15.3","23.37"
"41","2000-03-01","2000-03-29","1366.42","1379.19","1346.62","-1.4","1552.87","13.6","15.1","21.64"
"42","2000-03-02","2000-03-30","1379.19","1381.76","1346.62","-2.4","1552.87","12.6","15","21.06"
"43","2000-03-03","2000-03-31","1381.76","1409.17","1346.62","-2.5","1552.87","12.4","14.9","19.21"
"44","2000-03-06","2000-04-03","1409.17","1391.28","1346.62","-4.4","1552.87","10.2","14.6","21.5"
"45","2000-03-07","2000-04-04","1391.28","1355.62","1346.62","-3.2","1552.87","11.6","14.8","24.31"
"46","2000-03-08","2000-04-05","1355.62","1366.7","1346.62","-0.7","1552.87","14.6","15.2","23.82"
"47","2000-03-09","2000-04-06","1366.7","1401.69","1356.99","-0.7","1552.87","13.6","14.3","22.21"
"48","2000-03-10","2000-04-07","1401.69","1395.07","1356.99","-3.2","1552.87","10.8","14","21.24"
"49","2000-03-13","2000-04-10","1395.07","1383.62","1356.99","-2.7","1552.87","11.3","14","22.85"
"50","2000-03-14","2000-04-11","1383.62","1359.15","1356.99","-1.9","1552.87","12.2","14.2","24.41"
"51","2000-03-15","2000-04-12","1359.15","1392.14","1356.99","-0.2","1552.87","14.3","14.4","22.34"
"52","2000-03-16","2000-04-13","1392.15","1458.47","1392.15","0","1552.87","11.5","11.5","20.77"
"53","2000-03-17","2000-04-14","1458.47","1464.47","1339.4","-8.2","1552.87","6.5","14.6","22.37"
"54","2000-03-20","2000-04-17","1464.47","1456.63","1339.4","-8.5","1552.87","6","14.6","22.96"
"55","2000-03-21","2000-04-18","1456.63","1493.87","1339.4","-8","1552.87","6.6","14.7","21.7"
"56","2000-03-22","2000-04-19","1493.87","1500.64","1339.4","-10.3","1552.87","3.9","14.3","21.49"
"57","2000-03-23","2000-04-20","1500.64","1527.35","1339.4","-10.7","1552.87","3.5","14.2","22.26"
"58","2000-03-24","2000-04-24","1527.35","1527.46","1339.4","-12.3","1552.87","1.7","14","23.31"
"59","2000-03-27","2000-04-25","1527.46","1523.86","1339.4","-12.3","1534.63","0.5","12.8","24.53"
"60","2000-03-28","2000-04-26","1523.86","1507.73","1339.4","-12.1","1527.36","0.2","12.3","24.86"
"61","2000-03-29","2000-04-27","1507.73","1508.52","1339.4","-11.2","1527.19","1.3","12.5","24.1"
"62","2000-03-30","2000-04-28","1508.52","1487.92","1339.4","-11.2","1527.19","1.2","12.4","25.47"
"63","2000-03-31","2000-05-01","1487.92","1498.58","1339.4","-10","1527.19","2.6","12.6","24.11"
"64","2000-04-03","2000-05-02","1498.58","1505.97","1339.4","-10.6","1527.19","1.9","12.5","24.03"
"65","2000-04-04","2000-05-03","1505.98","1494.73","1339.4","-11.1","1527.19","1.4","12.5","27.12"
"66","2000-04-05","2000-05-04","1494.73","1487.37","1339.4","-10.4","1527.19","2.2","12.6","28.41"
"67","2000-04-06","2000-05-05","1487.37","1501.34","1339.4","-9.9","1527.19","2.7","12.6","27.15"
"68","2000-04-07","2000-05-08","1501.34","1516.35","1339.4","-10.8","1527.19","1.7","12.5","24.39"
"69","2000-04-10","2000-05-09","1516.35","1504.46","1339.4","-11.7","1527.19","0.7","12.4","25.99"
"70","2000-04-11","2000-05-10","1504.46","1500.59","1339.4","-11","1512.8","0.6","11.5","27.25"
"71","2000-04-12","2000-05-11","1500.59","1467.17","1339.4","-10.7","1509.08","0.6","11.3","28.98"
"72","2000-04-13","2000-05-12","1467.17","1440.51","1339.4","-8.7","1482.94","1.1","9.8","29.4"
"73","2000-04-14","2000-05-15","1440.51","1356.56","1339.4","-7","1482.94","2.9","10","33.49"
"74","2000-04-17","2000-05-16","1356.56","1401.44","1346.5","-0.7","1482.94","9.3","10.1","28.95"
"75","2000-04-18","2000-05-17","1401.44","1441.61","1375.14","-1.9","1482.94","5.8","7.7","26.12"
"76","2000-04-19","2000-05-18","1441.61","1427.47","1375.14","-4.6","1482.94","2.9","7.5","27.02"
"77","2000-04-20","2000-05-19","1427.47","1434.54","1375.14","-3.7","1482.94","3.9","7.6","25.85"
"78","2000-04-24","2000-05-22","1434.54","1429.86","1368.73","-4.6","1482.94","3.4","8","27.37"
"79","2000-04-25","2000-05-23","1429.86","1477.44","1368.73","-4.3","1482.94","3.7","8","25.24"
"80","2000-04-26","2000-05-24","1477.44","1460.99","1361.09","-7.9","1482.94","0.4","8.2","26.97"
"81","2000-04-27","2000-05-25","1460.99","1464.92","1361.09","-6.8","1481.51","1.4","8.2","26.19"
"82","2000-04-28","2000-05-26","1464.92","1452.43","1361.09","-7.1","1481.51","1.1","8.2","26.2"
"83","2000-05-01","2000-05-30","1452.43","1468.25","1361.09","-6.3","1481.51","2","8.3","25.88"
"84","2000-05-02","2000-05-31","1468.25","1446.29","1361.09","-7.3","1470.4","0.1","7.4","28.5"
"85","2000-05-03","2000-06-01","1446.29","1415.1","1361.09","-5.9","1470.4","1.7","7.6","31.63"
"86","2000-05-04","2000-06-02","1415.1","1409.57","1361.09","-3.8","1483.23","4.8","8.6","30.77"
"87","2000-05-05","2000-06-05","1409.57","1432.63","1361.09","-3.4","1483.23","5.2","8.7","27.53"
"88","2000-05-08","2000-06-06","1432.63","1424.17","1361.09","-5","1483.23","3.5","8.5","28.2"
"89","2000-05-09","2000-06-07","1424.17","1412.14","1361.09","-4.4","1483.23","4.1","8.6","28.93"
"90","2000-05-10","2000-06-08","1412.14","1383.05","1361.09","-3.6","1483.23","5","8.6","29.87"
"91","2000-05-11","2000-06-09","1383.05","1407.81","1361.09","-1.6","1483.23","7.2","8.8","27.76"
"92","2000-05-12","2000-06-12","1407.81","1420.96","1361.09","-3.3","1483.23","5.4","8.7","26.05"
"93","2000-05-15","2000-06-13","1420.96","1452.36","1361.09","-4.2","1483.23","4.4","8.6","24.86"
"94","2000-05-16","2000-06-14","1452.36","1466.04","1361.09","-6.3","1483.62","2.2","8.4","24.34"
"95","2000-05-17","2000-06-15","1466.04","1447.8","1361.09","-7.2","1483.62","1.2","8.4","23.98"
"96","2000-05-18","2000-06-16","1447.8","1437.21","1361.09","-6","1483.62","2.5","8.5","23.96"
"97","2000-05-19","2000-06-19","1437.21","1406.95","1361.09","-5.3","1488.93","3.6","8.9","25.44"
"98","2000-05-22","2000-06-20","1406.95","1400.72","1361.09","-3.3","1488.93","5.8","9.1","26"
"99","2000-05-23","2000-06-21","1400.72","1373.86","1361.09","-2.8","1488.93","6.3","9.1","25.87"
"100","2000-05-24","2000-06-22","1373.86","1399.05","1361.09","-0.9","1488.93","8.4","9.3","24.32"
"101","2000-05-25","2000-06-23","1399.05","1381.52","1369.75","-2.1","1488.93","6.4","8.5","24.58"
"102","2000-05-26","2000-06-26","1381.52","1378.02","1369.75","-0.9","1488.93","7.8","8.6","24.47"
"103","2000-05-30","2000-06-27","1378.02","1422.45","1378.02","0","1488.93","8","8","23.62"
"104","2000-05-31","2000-06-28","1422.44","1420.6","1415.5","-0.5","1488.93","4.7","5.2","23.65"
"105","2000-06-01","2000-06-29","1420.6","1448.81","1420.6","0","1488.93","4.8","4.8","22.36"
"106","2000-06-02","2000-06-30","1448.81","1477.26","1434.63","-1","1488.93","2.8","3.7","21.48"
"107","2000-06-05","2000-07-03","1477.26","1467.63","1434.63","-2.9","1488.93","0.8","3.7","22.71"
"108","2000-06-06","2000-07-05","1467.63","1457.84","1434.63","-2.2","1488.93","1.5","3.7","23.05"
"109","2000-06-07","2000-07-06","1457.84","1471.36","1434.63","-1.6","1488.93","2.1","3.7","22.48"
"110","2000-06-08","2000-07-07","1471.36","1461.67","1434.63","-2.5","1488.93","1.2","3.7","22.77"
"111","2000-06-09","2000-07-10","1461.67","1456.95","1434.63","-1.8","1488.93","1.9","3.7","22.14"
"112","2000-06-12","2000-07-11","1456.95","1446","1434.63","-1.5","1488.93","2.2","3.7","22.32"
"113","2000-06-13","2000-07-12","1446","1469.44","1434.63","-0.8","1497.69","3.6","4.4","21.67"
"114","2000-06-14","2000-07-13","1469.44","1470.54","1434.63","-2.4","1501.39","2.2","4.5","21.48"
"115","2000-06-15","2000-07-14","1470.54","1478.73","1434.63","-2.4","1509.99","2.7","5.1","20.68"
"116","2000-06-16","2000-07-17","1478.73","1464.46","1434.63","-3","1517.32","2.6","5.6","20.5"
"117","2000-06-19","2000-07-18","1464.46","1486","1434.63","-2","1517.32","3.6","5.6","20.63"
"118","2000-06-20","2000-07-19","1486","1475.95","1434.63","-3.5","1517.32","2.1","5.6","20.88"
"119","2000-06-21","2000-07-20","1475.95","1479.13","1434.63","-2.8","1517.32","2.8","5.6","20.61"
"120","2000-06-22","2000-07-21","1479.13","1452.18","1434.63","-3","1517.32","2.6","5.6","22"
"121","2000-06-23","2000-07-24","1452.18","1441.48","1434.63","-1.2","1517.32","4.5","5.7","22.34"
"122","2000-06-26","2000-07-25","1441.48","1455.31","1434.63","-0.5","1517.32","5.3","5.7","22.45"
"123","2000-06-27","2000-07-26","1455.31","1450.55","1434.63","-1.4","1517.32","4.3","5.7","21.8"
"124","2000-06-28","2000-07-27","1450.55","1454.82","1434.63","-1.1","1517.32","4.6","5.7","20.29"
"125","2000-06-29","2000-07-28","1454.82","1442.39","1413.89","-2.8","1517.32","4.3","7.1","19.7"
"126","2000-06-30","2000-07-31","1442.39","1454.6","1413.89","-2","1517.32","5.2","7.2","19.54"
"127","2000-07-03","2000-08-01","1454.6","1469.54","1413.89","-2.8","1517.32","4.3","7.1","19.83"
"128","2000-07-05","2000-08-02","1469.54","1446.23","1413.89","-3.8","1517.32","3.3","7","21.16"
"129","2000-07-06","2000-08-03","1446.23","1456.67","1413.89","-2.2","1517.32","4.9","7.2","20.94"
"130","2000-07-07","2000-08-04","1456.67","1478.9","1413.89","-2.9","1517.32","4.2","7.1","19.22"
"131","2000-07-10","2000-08-07","1478.9","1475.62","1413.89","-4.4","1517.32","2.6","7","20.33"
"132","2000-07-11","2000-08-08","1475.62","1480.88","1413.89","-4.2","1517.32","2.8","7","20.11"
"133","2000-07-12","2000-08-09","1480.88","1492.92","1413.89","-4.5","1517.32","2.5","7","20.03"
"134","2000-07-13","2000-08-10","1492.92","1495.84","1413.89","-5.3","1517.32","1.6","6.9","20.03"
"135","2000-07-14","2000-08-11","1495.84","1509.98","1413.89","-5.5","1517.32","1.4","6.9","19.32"
"136","2000-07-17","2000-08-14","1509.98","1510.49","1413.89","-6.4","1517.32","0.5","6.8","19.45"
"137","2000-07-18","2000-08-15","1510.49","1493.74","1413.89","-6.4","1510.49","0","6.4","19.75"
"138","2000-07-19","2000-08-16","1493.74","1481.96","1413.89","-5.3","1501.92","0.5","5.9","19.65"
"139","2000-07-20","2000-08-17","1481.96","1495.57","1413.89","-4.6","1501.92","1.3","5.9","18.94"
"140","2000-07-21","2000-08-18","1495.57","1480.19","1413.89","-5.5","1499.47","0.3","5.7","18.94"
"141","2000-07-24","2000-08-21","1480.19","1464.29","1413.89","-4.5","1502.84","1.5","6","19.92"
"142","2000-07-25","2000-08-22","1464.29","1474.47","1413.89","-3.4","1508.45","3","6.5","19.39"
"143","2000-07-26","2000-08-23","1474.47","1452.42","1413.89","-4.1","1508.45","2.3","6.4","19.67"
"144","2000-07-27","2000-08-24","1452.42","1449.62","1413.89","-2.7","1511.16","4","6.7","19.6"
"145","2000-07-28","2000-08-25","1449.62","1419.89","1413.89","-2.5","1513.47","4.4","6.9","20.84"
"146","2000-07-31","2000-08-28","1419.89","1430.83","1418.71","-0.1","1523.95","7.3","7.4","20.74"
"147","2000-08-01","2000-08-29","1430.83","1438.1","1425.43","-0.4","1523.95","6.5","6.9","20.55"
"148","2000-08-02","2000-08-30","1438.1","1438.7","1425.43","-0.9","1523.95","6","6.9","20"
"149","2000-08-03","2000-08-31","1438.7","1452.56","1425.43","-0.9","1525.21","6","6.9","19.99"
"150","2000-08-04","2000-09-01","1452.56","1462.93","1451.31","-0.1","1530.09","5.3","5.4","18.62"
"151","2000-08-07","2000-09-05","1462.93","1479.32","1453.06","-0.7","1530.09","4.6","5.3","19.03"
"152","2000-08-08","2000-09-06","1479.32","1482.8","1453.06","-1.8","1530.09","3.4","5.2","18.79"
